Loading vocab...
token_vocab: 4521, post_vocab: 160, pos_vocab: 46, dep_vocab: 42, pol_vocab: 3
cuda memory allocated: 7069696
n_trainable_params: 395673, n_nontrainable_params: 1356300
training arguments:
>>> model_name: gnn-transformer
>>> dataset: restaurant
>>> optimizer: <class 'torch.optim.adam.Adam'>
>>> initializer: <function xavier_uniform_ at 0x7f9352ac0d30>
>>> learning_rate: 0.001
>>> num_epoch: 50
>>> batch_size: 16
>>> log_step: 5
>>> embed_dim: 300
>>> post_dim: 60
>>> pos_dim: 30
>>> deprel_dim: 30
>>> hidden_dim: 60
>>> num_layers: 8
>>> polarities_dim: 3
>>> input_dropout: 0.7
>>> lower: True
>>> directed: False
>>> add_self_loop: True
>>> bidirect: True
>>> rnn_hidden: 60
>>> rnn_layers: 1
>>> rnn_dropout: 0.1
>>> max_length: 85
>>> device: cuda:0
>>> seed: 1000
>>> weight_decay: 0.0001
>>> vocab_dir: ./dataset/Restaurants_corenlp
>>> pad_id: 0
>>> graph_conv_type: gin
>>> graph_conv_attention_heads: 4
>>> graph_conv_attn_dropout: 0.0
>>> ffn_dropout: 0.4
>>> attention_heads: 4
>>> attn_dropout: 0.2
>>> norm: ln
>>> max_position: 9
>>> finetune_weight_decay: 0.01
>>> scheduler: linear
>>> warmup: 2
>>> cuda: 0
>>> pretrained_bert_name: bert-base-uncased
>>> adam_epsilon: 1e-08
>>> bert_dim: 768
>>> bert_dropout: 0.3
>>> bert_lr: 2e-05
>>> model_class: <class 'models.gnn_transformer.GNN_Transformer'>
>>> dataset_file: {'train': './dataset/Restaurants_corenlp/train.json', 'test': './dataset/Restaurants_corenlp/test.json'}
>>> inputs_cols: ['text', 'aspect', 'pos', 'head', 'deprel', 'post', 'mask', 'length', 'adj']
>>> post_size: 160
>>> pos_size: 46
>>> deprel_size: 42
>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>
epoch: 0
>> saved: ./state_dict/gnn-transformer_restaurant_acc_0.6452_f1_0.2616
loss: 1.2840, acc: 0.6250, test_acc: 0.6452, f1: 0.2616
loss: 1.0232, acc: 0.4094, test_acc: 0.4915, f1: 0.4270
loss: 1.2326, acc: 0.4167, test_acc: 0.4951, f1: 0.4420
loss: 1.1805, acc: 0.4091, test_acc: 0.5121, f1: 0.4462
loss: 1.0393, acc: 0.4130, test_acc: 0.4191, f1: 0.3905
loss: 0.9191, acc: 0.4141, test_acc: 0.3968, f1: 0.3794
loss: 1.2564, acc: 0.4050, test_acc: 0.4218, f1: 0.3987
loss: 0.9236, acc: 0.4087, test_acc: 0.5433, f1: 0.4629
loss: 1.0875, acc: 0.4074, test_acc: 0.5407, f1: 0.4662
loss: 1.0606, acc: 0.4129, test_acc: 0.4611, f1: 0.4194
loss: 0.9499, acc: 0.4224, test_acc: 0.5496, f1: 0.4679
loss: 1.2449, acc: 0.4229, test_acc: 0.5657, f1: 0.4755
loss: 1.0179, acc: 0.4254, test_acc: 0.5398, f1: 0.4682
loss: 0.9156, acc: 0.4316, test_acc: 0.5380, f1: 0.4697
loss: 1.0249, acc: 0.4318, test_acc: 0.5299, f1: 0.4620
loss: 0.9635, acc: 0.4375, test_acc: 0.5139, f1: 0.4580
loss: 0.9316, acc: 0.4411, test_acc: 0.4826, f1: 0.4371
loss: 0.8726, acc: 0.4479, test_acc: 0.4754, f1: 0.4334
loss: 0.9300, acc: 0.4510, test_acc: 0.4647, f1: 0.4228
loss: 0.9211, acc: 0.4539, test_acc: 0.4763, f1: 0.4213
loss: 0.9364, acc: 0.4599, test_acc: 0.4960, f1: 0.4317
loss: 0.9999, acc: 0.4594, test_acc: 0.5603, f1: 0.4675
loss: 1.0233, acc: 0.4558, test_acc: 0.6032, f1: 0.4780
loss: 0.9663, acc: 0.4568, test_acc: 0.6023, f1: 0.4798
loss: 0.7128, acc: 0.4622, test_acc: 0.5907, f1: 0.4734
loss: 1.1963, acc: 0.4602, test_acc: 0.5934, f1: 0.4716
loss: 1.0573, acc: 0.4611, test_acc: 0.5952, f1: 0.4671
>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>
epoch: 7
loss: 1.1516, acc: 0.3750, test_acc: 0.5889, f1: 0.4670
loss: 1.1514, acc: 0.2812, test_acc: 0.5916, f1: 0.4706
loss: 0.9890, acc: 0.3750, test_acc: 0.5585, f1: 0.4686
loss: 1.0141, acc: 0.4219, test_acc: 0.5657, f1: 0.4671
loss: 0.8941, acc: 0.4500, test_acc: 0.5755, f1: 0.4622
loss: 0.9386, acc: 0.4479, test_acc: 0.5523, f1: 0.4628
loss: 1.0000, acc: 0.4732, test_acc: 0.5657, f1: 0.4652
loss: 1.3799, acc: 0.4609, test_acc: 0.5469, f1: 0.4630
loss: 1.0889, acc: 0.4514, test_acc: 0.5353, f1: 0.4576
loss: 1.0157, acc: 0.4562, test_acc: 0.4459, f1: 0.4061
loss: 1.0412, acc: 0.4830, test_acc: 0.4209, f1: 0.3872
loss: 1.1146, acc: 0.4635, test_acc: 0.4325, f1: 0.3951
loss: 1.1217, acc: 0.4567, test_acc: 0.4584, f1: 0.4126
loss: 1.2409, acc: 0.4509, test_acc: 0.5156, f1: 0.4613
loss: 1.0624, acc: 0.4500, test_acc: 0.5228, f1: 0.4507
loss: 1.1535, acc: 0.4453, test_acc: 0.5174, f1: 0.4393
loss: 0.8288, acc: 0.4522, test_acc: 0.4942, f1: 0.4191
loss: 1.2094, acc: 0.4479, test_acc: 0.3986, f1: 0.3610
loss: 1.1552, acc: 0.4474, test_acc: 0.4772, f1: 0.4133
loss: 1.0951, acc: 0.4500, test_acc: 0.4978, f1: 0.4474
loss: 1.1828, acc: 0.4435, test_acc: 0.4236, f1: 0.4045
loss: 1.1315, acc: 0.4460, test_acc: 0.4281, f1: 0.4031
loss: 1.1524, acc: 0.4402, test_acc: 0.4343, f1: 0.4051
loss: 1.0617, acc: 0.4453, test_acc: 0.4611, f1: 0.4153
loss: 0.8135, acc: 0.4525, test_acc: 0.4629, f1: 0.4148
loss: 1.0092, acc: 0.4519, test_acc: 0.4450, f1: 0.4136
loss: 1.0181, acc: 0.4491, test_acc: 0.4424, f1: 0.4089
loss: 0.8878, acc: 0.4576, test_acc: 0.5907, f1: 0.4775
loss: 1.0334, acc: 0.4591, test_acc: 0.6050, f1: 0.4640
loss: 0.8799, acc: 0.4625, test_acc: 0.6139, f1: 0.4647
loss: 1.0813, acc: 0.4657, test_acc: 0.6113, f1: 0.4634
loss: 0.8598, acc: 0.4746, test_acc: 0.6032, f1: 0.4616
loss: 1.0405, acc: 0.4830, test_acc: 0.5693, f1: 0.4485
loss: 0.9436, acc: 0.4853, test_acc: 0.5567, f1: 0.4450
loss: 1.2193, acc: 0.4804, test_acc: 0.5192, f1: 0.4240
loss: 0.9364, acc: 0.4792, test_acc: 0.5282, f1: 0.4458
loss: 0.9077, acc: 0.4831, test_acc: 0.5219, f1: 0.4399
loss: 1.0427, acc: 0.4786, test_acc: 0.5290, f1: 0.4460
loss: 1.2929, acc: 0.4744, test_acc: 0.5353, f1: 0.4502
loss: 1.1444, acc: 0.4703, test_acc: 0.5246, f1: 0.4460
loss: 1.1919, acc: 0.4710, test_acc: 0.5147, f1: 0.4489
loss: 1.1710, acc: 0.4717, test_acc: 0.5156, f1: 0.4475
loss: 1.1504, acc: 0.4666, test_acc: 0.4879, f1: 0.4384
loss: 1.0923, acc: 0.4659, test_acc: 0.3789, f1: 0.3683
loss: 1.0340, acc: 0.4653, test_acc: 0.3271, f1: 0.3274
>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>
epoch: 8
loss: 1.1728, acc: 0.2500, test_acc: 0.3074, f1: 0.3104
loss: 0.9648, acc: 0.3750, test_acc: 0.4102, f1: 0.3899
loss: 1.0161, acc: 0.3750, test_acc: 0.4558, f1: 0.4155
loss: 1.1064, acc: 0.3906, test_acc: 0.4781, f1: 0.4272
loss: 1.0892, acc: 0.3750, test_acc: 0.4763, f1: 0.4268
loss: 1.2053, acc: 0.3854, test_acc: 0.4817, f1: 0.4244
loss: 1.0592, acc: 0.3839, test_acc: 0.4906, f1: 0.4265
loss: 0.9965, acc: 0.4141, test_acc: 0.4987, f1: 0.4306
loss: 0.9476, acc: 0.4236, test_acc: 0.4897, f1: 0.4247
loss: 0.9357, acc: 0.4313, test_acc: 0.4710, f1: 0.4158
loss: 1.1440, acc: 0.4261, test_acc: 0.4924, f1: 0.4284
loss: 1.0884, acc: 0.4219, test_acc: 0.5228, f1: 0.4450
loss: 1.1597, acc: 0.4279, test_acc: 0.5371, f1: 0.4598
loss: 1.2375, acc: 0.4241, test_acc: 0.5603, f1: 0.4725
loss: 0.9755, acc: 0.4292, test_acc: 0.5639, f1: 0.4661
loss: 1.1770, acc: 0.4219, test_acc: 0.5791, f1: 0.4498
loss: 0.9915, acc: 0.4228, test_acc: 0.4441, f1: 0.3613
loss: 1.2314, acc: 0.4271, test_acc: 0.4495, f1: 0.3655
loss: 1.0091, acc: 0.4342, test_acc: 0.5898, f1: 0.4471
loss: 1.0610, acc: 0.4344, test_acc: 0.6157, f1: 0.4692
loss: 1.0307, acc: 0.4345, test_acc: 0.5907, f1: 0.4827
loss: 1.0133, acc: 0.4432, test_acc: 0.5791, f1: 0.4753
loss: 0.9828, acc: 0.4511, test_acc: 0.5916, f1: 0.4790
loss: 1.0246, acc: 0.4531, test_acc: 0.6086, f1: 0.4688
loss: 1.0991, acc: 0.4525, test_acc: 0.6077, f1: 0.4625
loss: 0.9121, acc: 0.4567, test_acc: 0.5603, f1: 0.4473
loss: 1.1462, acc: 0.4583, test_acc: 0.5398, f1: 0.4423
loss: 1.1055, acc: 0.4621, test_acc: 0.5282, f1: 0.4429
loss: 0.9375, acc: 0.4634, test_acc: 0.4754, f1: 0.4233
loss: 1.2637, acc: 0.4583, test_acc: 0.4477, f1: 0.4145
loss: 1.0249, acc: 0.4536, test_acc: 0.4424, f1: 0.4135
loss: 0.9354, acc: 0.4551, test_acc: 0.4754, f1: 0.4319
loss: 0.8792, acc: 0.4602, test_acc: 0.5237, f1: 0.4564
loss: 1.1764, acc: 0.4559, test_acc: 0.5442, f1: 0.4617
loss: 1.1542, acc: 0.4536, test_acc: 0.5094, f1: 0.4400
loss: 1.1723, acc: 0.4514, test_acc: 0.5103, f1: 0.4355
loss: 1.1594, acc: 0.4510, test_acc: 0.5255, f1: 0.4446
loss: 0.9842, acc: 0.4572, test_acc: 0.5496, f1: 0.4533
loss: 0.9621, acc: 0.4567, test_acc: 0.5702, f1: 0.4707
loss: 0.9750, acc: 0.4578, test_acc: 0.5576, f1: 0.4704
loss: 1.0238, acc: 0.4619, test_acc: 0.4102, f1: 0.3890
loss: 1.0130, acc: 0.4583, test_acc: 0.3566, f1: 0.3556
loss: 1.1688, acc: 0.4535, test_acc: 0.3619, f1: 0.3558
loss: 0.8694, acc: 0.4560, test_acc: 0.4441, f1: 0.4060
loss: 1.0472, acc: 0.4597, test_acc: 0.4978, f1: 0.4347
>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>
epoch: 9
loss: 1.0831, acc: 0.2500, test_acc: 0.5201, f1: 0.4467
loss: 1.0292, acc: 0.2812, test_acc: 0.5273, f1: 0.4482
loss: 1.0660, acc: 0.3542, test_acc: 0.5335, f1: 0.4558
loss: 1.0354, acc: 0.3906, test_acc: 0.5290, f1: 0.4586
loss: 0.9632, acc: 0.4125, test_acc: 0.5657, f1: 0.4761
loss: 1.0169, acc: 0.3958, test_acc: 0.5728, f1: 0.4744
loss: 0.9326, acc: 0.4107, test_acc: 0.5264, f1: 0.4530
loss: 1.0990, acc: 0.3984, test_acc: 0.4710, f1: 0.4260
loss: 0.9946, acc: 0.3889, test_acc: 0.3628, f1: 0.3520
loss: 0.9337, acc: 0.4000, test_acc: 0.4406, f1: 0.4085
loss: 1.0265, acc: 0.3920, test_acc: 0.4674, f1: 0.4233
loss: 1.0361, acc: 0.3906, test_acc: 0.5183, f1: 0.4484
loss: 1.1243, acc: 0.4038, test_acc: 0.5550, f1: 0.4575
loss: 1.1016, acc: 0.4062, test_acc: 0.5621, f1: 0.4567
loss: 1.0323, acc: 0.4208, test_acc: 0.5871, f1: 0.4579
loss: 0.9663, acc: 0.4375, test_acc: 0.5880, f1: 0.4588
loss: 1.1675, acc: 0.4375, test_acc: 0.5970, f1: 0.4576
loss: 0.9965, acc: 0.4375, test_acc: 0.6014, f1: 0.4661
loss: 1.1390, acc: 0.4375, test_acc: 0.5800, f1: 0.4637
loss: 1.0980, acc: 0.4344, test_acc: 0.5299, f1: 0.4368
loss: 1.1696, acc: 0.4464, test_acc: 0.5174, f1: 0.4366
loss: 1.0434, acc: 0.4432, test_acc: 0.4960, f1: 0.4294
loss: 0.9970, acc: 0.4457, test_acc: 0.4692, f1: 0.4209
loss: 0.9524, acc: 0.4505, test_acc: 0.4325, f1: 0.3990
loss: 0.9734, acc: 0.4500, test_acc: 0.4245, f1: 0.3955
loss: 1.1206, acc: 0.4423, test_acc: 0.4701, f1: 0.4193
loss: 1.1616, acc: 0.4398, test_acc: 0.5416, f1: 0.4578
loss: 1.1184, acc: 0.4353, test_acc: 0.5970, f1: 0.4826
loss: 1.0262, acc: 0.4418, test_acc: 0.6193, f1: 0.4834
loss: 1.0594, acc: 0.4396, test_acc: 0.6202, f1: 0.4785
loss: 1.1611, acc: 0.4375, test_acc: 0.5853, f1: 0.4742
loss: 1.0065, acc: 0.4414, test_acc: 0.6220, f1: 0.4765
loss: 1.1718, acc: 0.4432, test_acc: 0.6157, f1: 0.4743
loss: 1.0256, acc: 0.4412, test_acc: 0.6175, f1: 0.4829
loss: 1.0386, acc: 0.4375, test_acc: 0.5773, f1: 0.4791
loss: 0.8466, acc: 0.4427, test_acc: 0.5630, f1: 0.4752
loss: 0.9901, acc: 0.4459, test_acc: 0.5666, f1: 0.4767
loss: 1.1889, acc: 0.4441, test_acc: 0.5693, f1: 0.4732
loss: 0.9651, acc: 0.4439, test_acc: 0.5809, f1: 0.4735
loss: 1.1426, acc: 0.4406, test_acc: 0.5809, f1: 0.4741
loss: 0.8575, acc: 0.4421, test_acc: 0.5612, f1: 0.4726
loss: 0.9753, acc: 0.4449, test_acc: 0.4558, f1: 0.4159
loss: 1.1208, acc: 0.4462, test_acc: 0.4254, f1: 0.4003
loss: 0.9481, acc: 0.4460, test_acc: 0.4424, f1: 0.4081
loss: 0.9790, acc: 0.4514, test_acc: 0.4468, f1: 0.4099
loss: 0.8745, acc: 0.4547, test_acc: 0.4227, f1: 0.3988
>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>
epoch: 10
loss: 0.9527, acc: 0.5000, test_acc: 0.4021, f1: 0.3863
loss: 1.1778, acc: 0.4375, test_acc: 0.4924, f1: 0.4430
loss: 0.7905, acc: 0.4792, test_acc: 0.4924, f1: 0.4390
loss: 1.0759, acc: 0.4531, test_acc: 0.4915, f1: 0.4401
loss: 0.9843, acc: 0.4750, test_acc: 0.4013, f1: 0.3826
loss: 1.1284, acc: 0.4271, test_acc: 0.3798, f1: 0.3684
loss: 0.9196, acc: 0.4196, test_acc: 0.3950, f1: 0.3787
loss: 0.9732, acc: 0.4062, test_acc: 0.4933, f1: 0.4425
loss: 1.0092, acc: 0.4097, test_acc: 0.5040, f1: 0.4463
loss: 1.0249, acc: 0.4188, test_acc: 0.5130, f1: 0.4492
loss: 1.1062, acc: 0.4148, test_acc: 0.5496, f1: 0.4680
loss: 1.1076, acc: 0.4271, test_acc: 0.5728, f1: 0.4778
loss: 1.4032, acc: 0.4087, test_acc: 0.5773, f1: 0.4803
loss: 0.9745, acc: 0.4196, test_acc: 0.5532, f1: 0.4695
loss: 0.9587, acc: 0.4208, test_acc: 0.5290, f1: 0.4562
loss: 0.8877, acc: 0.4297, test_acc: 0.5371, f1: 0.4602
loss: 1.0041, acc: 0.4375, test_acc: 0.5987, f1: 0.4760
loss: 1.1556, acc: 0.4444, test_acc: 0.6139, f1: 0.4733
loss: 0.9756, acc: 0.4474, test_acc: 0.6059, f1: 0.4817
loss: 0.9143, acc: 0.4531, test_acc: 0.5389, f1: 0.4625
loss: 0.9632, acc: 0.4583, test_acc: 0.5290, f1: 0.4626
loss: 1.2385, acc: 0.4545, test_acc: 0.5424, f1: 0.4672
loss: 0.9361, acc: 0.4538, test_acc: 0.5576, f1: 0.4685
loss: 0.9873, acc: 0.4453, test_acc: 0.5862, f1: 0.4835
loss: 1.0832, acc: 0.4500, test_acc: 0.5853, f1: 0.4827
loss: 0.8634, acc: 0.4639, test_acc: 0.5791, f1: 0.4724
loss: 0.8822, acc: 0.4722, test_acc: 0.5818, f1: 0.4756
loss: 0.8145, acc: 0.4732, test_acc: 0.5800, f1: 0.4734
loss: 1.0751, acc: 0.4698, test_acc: 0.5451, f1: 0.4590
loss: 0.9410, acc: 0.4750, test_acc: 0.5308, f1: 0.4586
loss: 0.9876, acc: 0.4778, test_acc: 0.4888, f1: 0.4407
loss: 1.1537, acc: 0.4727, test_acc: 0.4701, f1: 0.4336
loss: 1.1990, acc: 0.4716, test_acc: 0.3887, f1: 0.3789
loss: 0.9778, acc: 0.4761, test_acc: 0.3619, f1: 0.3575
loss: 0.7779, acc: 0.4768, test_acc: 0.3673, f1: 0.3622
loss: 1.0630, acc: 0.4705, test_acc: 0.3700, f1: 0.3641
loss: 1.0145, acc: 0.4713, test_acc: 0.4093, f1: 0.3939
loss: 1.1363, acc: 0.4671, test_acc: 0.4826, f1: 0.4349
loss: 1.5137, acc: 0.4599, test_acc: 0.4835, f1: 0.4342
loss: 1.1803, acc: 0.4562, test_acc: 0.4799, f1: 0.4296
loss: 0.9611, acc: 0.4573, test_acc: 0.4897, f1: 0.4348
loss: 0.9643, acc: 0.4598, test_acc: 0.5121, f1: 0.4434
loss: 0.9841, acc: 0.4622, test_acc: 0.5880, f1: 0.4698
loss: 0.9992, acc: 0.4645, test_acc: 0.6399, f1: 0.4525
loss: 1.0336, acc: 0.4653, test_acc: 0.6425, f1: 0.4491
>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>
epoch: 11
loss: 1.0345, acc: 0.5625, test_acc: 0.6220, f1: 0.4603
loss: 1.0538, acc: 0.5312, test_acc: 0.5666, f1: 0.4548
loss: 1.0562, acc: 0.4792, test_acc: 0.5559, f1: 0.4609
loss: 1.0220, acc: 0.4844, test_acc: 0.5282, f1: 0.4501
loss: 0.8942, acc: 0.4875, test_acc: 0.5460, f1: 0.4633
loss: 0.8541, acc: 0.5312, test_acc: 0.5326, f1: 0.4579
loss: 1.0940, acc: 0.4911, test_acc: 0.5228, f1: 0.4526
loss: 0.9706, acc: 0.5078, test_acc: 0.5550, f1: 0.4731
loss: 1.1628, acc: 0.4792, test_acc: 0.5675, f1: 0.4748
loss: 1.0755, acc: 0.4688, test_acc: 0.5621, f1: 0.4686
loss: 1.2478, acc: 0.4489, test_acc: 0.5639, f1: 0.4732
loss: 1.0957, acc: 0.4427, test_acc: 0.5719, f1: 0.4695
loss: 0.9361, acc: 0.4567, test_acc: 0.5827, f1: 0.4717
loss: 1.1304, acc: 0.4509, test_acc: 0.5925, f1: 0.4795
loss: 0.9668, acc: 0.4542, test_acc: 0.5853, f1: 0.4847
loss: 0.8693, acc: 0.4570, test_acc: 0.5782, f1: 0.4840
loss: 1.1042, acc: 0.4485, test_acc: 0.5773, f1: 0.4768
loss: 0.8996, acc: 0.4583, test_acc: 0.5737, f1: 0.4726
loss: 0.9893, acc: 0.4638, test_acc: 0.5094, f1: 0.4432
loss: 0.9773, acc: 0.4656, test_acc: 0.4933, f1: 0.4333
loss: 1.1012, acc: 0.4673, test_acc: 0.5380, f1: 0.4590
loss: 0.9346, acc: 0.4688, test_acc: 0.5702, f1: 0.4755
loss: 0.9767, acc: 0.4701, test_acc: 0.5550, f1: 0.4710
loss: 0.9810, acc: 0.4714, test_acc: 0.5407, f1: 0.4654
loss: 0.9678, acc: 0.4725, test_acc: 0.5290, f1: 0.4559
loss: 1.1505, acc: 0.4688, test_acc: 0.5442, f1: 0.4638
loss: 0.8609, acc: 0.4815, test_acc: 0.5746, f1: 0.4775
loss: 1.1595, acc: 0.4732, test_acc: 0.5755, f1: 0.4746
loss: 1.1596, acc: 0.4741, test_acc: 0.5728, f1: 0.4780
loss: 0.8387, acc: 0.4854, test_acc: 0.5791, f1: 0.4801
loss: 0.9914, acc: 0.4960, test_acc: 0.5773, f1: 0.4789
loss: 0.9546, acc: 0.4980, test_acc: 0.5710, f1: 0.4749
loss: 1.0662, acc: 0.4943, test_acc: 0.5380, f1: 0.4563
loss: 0.9482, acc: 0.4945, test_acc: 0.5004, f1: 0.4433
loss: 1.1367, acc: 0.4911, test_acc: 0.4853, f1: 0.4377
loss: 0.9347, acc: 0.4931, test_acc: 0.4870, f1: 0.4439
loss: 0.9701, acc: 0.4949, test_acc: 0.4879, f1: 0.4453
loss: 1.3586, acc: 0.4885, test_acc: 0.4861, f1: 0.4437
loss: 0.9146, acc: 0.4920, test_acc: 0.4951, f1: 0.4413
loss: 1.2848, acc: 0.4875, test_acc: 0.4835, f1: 0.4280
loss: 0.9758, acc: 0.4878, test_acc: 0.4790, f1: 0.4251
loss: 1.0284, acc: 0.4866, test_acc: 0.4924, f1: 0.4339
loss: 0.9941, acc: 0.4898, test_acc: 0.5103, f1: 0.4423
loss: 0.8944, acc: 0.4886, test_acc: 0.5424, f1: 0.4571
loss: 1.0242, acc: 0.4889, test_acc: 0.5916, f1: 0.4715
>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>
epoch: 12
loss: 1.1231, acc: 0.5625, test_acc: 0.6363, f1: 0.4670
loss: 1.0824, acc: 0.5000, test_acc: 0.6309, f1: 0.4615
loss: 0.8879, acc: 0.5417, test_acc: 0.5979, f1: 0.4761
loss: 1.0597, acc: 0.5625, test_acc: 0.5862, f1: 0.4764
loss: 1.0336, acc: 0.5500, test_acc: 0.5362, f1: 0.4628
loss: 0.9342, acc: 0.5729, test_acc: 0.5076, f1: 0.4468
loss: 0.9931, acc: 0.5714, test_acc: 0.4674, f1: 0.4235
loss: 0.9339, acc: 0.5469, test_acc: 0.4710, f1: 0.4253
loss: 0.7970, acc: 0.5556, test_acc: 0.4888, f1: 0.4362
loss: 1.0203, acc: 0.5625, test_acc: 0.4942, f1: 0.4433
loss: 0.8637, acc: 0.5455, test_acc: 0.4942, f1: 0.4440
loss: 0.9457, acc: 0.5417, test_acc: 0.4906, f1: 0.4433
loss: 0.8867, acc: 0.5481, test_acc: 0.5013, f1: 0.4466
loss: 1.1753, acc: 0.5312, test_acc: 0.5165, f1: 0.4590
loss: 1.0114, acc: 0.5125, test_acc: 0.5317, f1: 0.4658
loss: 0.9160, acc: 0.5195, test_acc: 0.5371, f1: 0.4715
loss: 1.0125, acc: 0.5221, test_acc: 0.5219, f1: 0.4563
loss: 0.9172, acc: 0.5208, test_acc: 0.5514, f1: 0.4737
loss: 0.9546, acc: 0.5197, test_acc: 0.5684, f1: 0.4733
loss: 1.2721, acc: 0.5094, test_acc: 0.5398, f1: 0.4633
loss: 1.0013, acc: 0.5089, test_acc: 0.5201, f1: 0.4519
loss: 1.0469, acc: 0.5085, test_acc: 0.5067, f1: 0.4437
loss: 1.1350, acc: 0.4946, test_acc: 0.5067, f1: 0.4444
loss: 1.2802, acc: 0.4922, test_acc: 0.5022, f1: 0.4446
loss: 0.8147, acc: 0.4950, test_acc: 0.5130, f1: 0.4567
loss: 1.0038, acc: 0.4928, test_acc: 0.5112, f1: 0.4573
loss: 1.2288, acc: 0.4838, test_acc: 0.4969, f1: 0.4497
loss: 0.8353, acc: 0.4844, test_acc: 0.4879, f1: 0.4459
loss: 1.0248, acc: 0.4849, test_acc: 0.4933, f1: 0.4493
loss: 1.1404, acc: 0.4833, test_acc: 0.4736, f1: 0.4379
loss: 1.2265, acc: 0.4758, test_acc: 0.4969, f1: 0.4516
loss: 1.1511, acc: 0.4727, test_acc: 0.5255, f1: 0.4639
loss: 0.9234, acc: 0.4773, test_acc: 0.5398, f1: 0.4659
loss: 0.9790, acc: 0.4743, test_acc: 0.5478, f1: 0.4656
loss: 0.9319, acc: 0.4714, test_acc: 0.5344, f1: 0.4530
loss: 0.9582, acc: 0.4705, test_acc: 0.5139, f1: 0.4467
loss: 1.0350, acc: 0.4662, test_acc: 0.4736, f1: 0.4239
loss: 1.1744, acc: 0.4671, test_acc: 0.4307, f1: 0.3909
loss: 1.2541, acc: 0.4647, test_acc: 0.3458, f1: 0.3357
loss: 1.1411, acc: 0.4609, test_acc: 0.4290, f1: 0.4008
loss: 1.1022, acc: 0.4588, test_acc: 0.4960, f1: 0.4386
loss: 1.1626, acc: 0.4568, test_acc: 0.5335, f1: 0.4684
loss: 1.0588, acc: 0.4549, test_acc: 0.5567, f1: 0.4746
loss: 1.0842, acc: 0.4517, test_acc: 0.5791, f1: 0.4842
loss: 1.2083, acc: 0.4500, test_acc: 0.6291, f1: 0.4837
>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>
epoch: 13
loss: 0.9759, acc: 0.8125, test_acc: 0.6059, f1: 0.4798
loss: 1.0016, acc: 0.7500, test_acc: 0.5970, f1: 0.4809
loss: 1.0446, acc: 0.6458, test_acc: 0.5818, f1: 0.4711
loss: 0.8914, acc: 0.6562, test_acc: 0.5836, f1: 0.4740
loss: 1.2424, acc: 0.6250, test_acc: 0.5755, f1: 0.4754
loss: 0.9998, acc: 0.5938, test_acc: 0.5559, f1: 0.4813
loss: 0.9583, acc: 0.5804, test_acc: 0.5058, f1: 0.4499
loss: 0.8583, acc: 0.5859, test_acc: 0.5031, f1: 0.4517
loss: 1.2569, acc: 0.5625, test_acc: 0.5299, f1: 0.4667
loss: 0.9748, acc: 0.5625, test_acc: 0.5469, f1: 0.4753
loss: 1.0805, acc: 0.5511, test_acc: 0.5541, f1: 0.4816
loss: 1.0062, acc: 0.5573, test_acc: 0.5791, f1: 0.4875
loss: 1.2414, acc: 0.5529, test_acc: 0.5845, f1: 0.4709
loss: 0.9796, acc: 0.5491, test_acc: 0.5880, f1: 0.4625
loss: 1.2897, acc: 0.5292, test_acc: 0.5728, f1: 0.4624
loss: 1.0097, acc: 0.5352, test_acc: 0.5255, f1: 0.4510
loss: 0.8974, acc: 0.5478, test_acc: 0.4942, f1: 0.4403
loss: 1.0744, acc: 0.5486, test_acc: 0.4826, f1: 0.4341
loss: 0.9524, acc: 0.5526, test_acc: 0.5049, f1: 0.4494
loss: 0.8890, acc: 0.5563, test_acc: 0.5094, f1: 0.4513
loss: 0.9835, acc: 0.5565, test_acc: 0.5255, f1: 0.4701
loss: 1.0398, acc: 0.5511, test_acc: 0.4969, f1: 0.4555
loss: 1.1875, acc: 0.5326, test_acc: 0.3887, f1: 0.3837
loss: 1.1629, acc: 0.5182, test_acc: 0.3494, f1: 0.3517
loss: 0.9599, acc: 0.5150, test_acc: 0.3485, f1: 0.3495
loss: 1.0706, acc: 0.5120, test_acc: 0.4576, f1: 0.4277
loss: 1.0344, acc: 0.5116, test_acc: 0.5183, f1: 0.4589
loss: 1.1433, acc: 0.5045, test_acc: 0.5326, f1: 0.4642
loss: 1.1292, acc: 0.4978, test_acc: 0.5424, f1: 0.4683
loss: 0.9599, acc: 0.5021, test_acc: 0.5791, f1: 0.4801
